date,monkies,cycle,L-sit R,L-sit P,german_hang,skin_the_cat,front_lever,push_ups,wheel,plank,side_plank,baby_jesus,pull_up,frenchies,quadrat,dips,handstand,legs
2.4.2018,doripa,1,4,,4,,10,,,,,,,,,,,
4.4.2018,doripa,1,4,,4,,10,,20,,,,,,,12,,
6.4.2018,doripa,1,4,,4,,10,26,,,,,,,,,,
8.4.2018,doripa,1,,,4,,,,25,,,18,,,,20,,
8.4.2018,sunshine,1,4,,4,1,,,20,,,,15,,,4,,
10.4.2018,doripa,1,4,,4,,5,,,,,,,,,,,
12.4.2018,doripa,1,5,,4,,,,25,,,,,,,,,
28.4.2018,sunshine,2,,,3,,,5,15,120,90,,,,,,,
28.4.2018,doripa,2,,,4,,,,20,120,90,,,,,,,
1.5.2018,sunshine,2,,,2,,,,,60,60,,,,,,,
1.5.2018,doripa,2,,,2,,,,,60,60,,,,,,,
3.5.2018,sunshine,2,1,,,,,,,,,,,,,,,10
3.5.2018,doripa,2,3,3,,,,,,,,,,6,,,,10
