date,monkey,cycle,phase,location,kg,mood,rm,stable,max_full,total,total6,4,5a,5b,5c,6a,6a+,6b,6b+,6c,6c+,7a,7a+,7b,7b+,7c,7c+,8a
25.3.2018,doripa,1,marathon,bb1,78,,0.95,6a,6b+,42,42,,,,,18,12,8,4,,,,,,,,,
25.3.2018,sunshine,1,marathon,bb1,60,,0.95,5c,6b+,42,14,,12,13,3,9,3,1,1,,,,,,,,,
27.3.2018,doripa,1,technique,bf,78,,0.6,6b,6b+,25.75,9.25,,7,5,2,4,1,2,2,0.25,,,1.5,,,,,
29.3.2018,doripa,1,4x4,bb2,78,,0.5,6b,6b,24,12.5,,1,7,3,6,4,2,,,0.5,0.5,,,,,,
29.3.2018,sunshine,1,4x4,bb2,60,,0.5,5c,6a+,12.5,3,,1,5,3,2,1,,,,,0.5,,,,,,
31.3.2018,doripa,1,project,bf,78,,0.6,6b,6b+,40.75,16.25,,9,9,6,10,4,1,1,,0.25,0.5,,,,,,
2.4.2018,doripa,1,project,bb1,78,,0.4,6b,6c+,30.25,22.25,,3,3,2,6,5,4,5,,1.25,,,,,,,
4.4.2018,doripa,1,project,bf,78,,0.4,6b,6c,20,18,,1,,,6,3,3,5,1,,1,,,,,,
6.4.2018,doripa,1,arc,bf,78,,0.2,5c,5c,29,0,,12,8,9,,,,,,,,,,,,,
6.4.2018,doripa,1,project,bb2,78,,0.5,6b,6c+,39,33,,3,3,,13,8,2,3,5,2,,,,,,,
7.4.2018,doripa,1,arc,bf,78,,0.3,5c,5c,14,0,,6,5,3,,,,,,,,,,,,,
8.4.2018,doripa,1,arc,bf,78,,0.2,5c,5c,30,0,,12,9,9,,,,,,,,,,,,,
8.4.2018,doripa,1,project,bf,78,,0.5,6b+,6c,25,18,,1,,3,9,3,3,2,1,,3,,,,,,
10.4.2018,doripa,1,project,bb2,78,,0.8,6c,7a+,20,13,,1,3,,3,3,4,1,1,1,2,1,,,,,
12.4.2018,doripa,1,project,bf,78,,0.7,6b,6c+,19,16,,,1,1,2,2,5,2,3,2,1,,,,,,
14.4.2018,doripa,1,arc,bf,78,,0.2,5c,5c,30,0,,11,9,10,,,,,,,,,,,,,
26.4.2018,doripa,2,base,bb2,78,,0.6,6a,6c,31,21,,3,3,4,8,5,2,1,4,1,,,,,,,
28.4.2018,doripa,2,base,bb1,78,,0.5,6a,6b+,35,27,,1,4,2,5,7,10,5,,1,,,,,,,
28.4.2018,sunshine,2,base,bb1,59,,0.6,5c,6a+,11,3,5,1,1,1,1,1,1,,,,,,,,,,
1.5.2018,doripa,2,arc,bf,78,4,0.2,6a,6a,30,1,,7,13,9,1,,,,,,,,,,,,
1.5.2018,sunshine,2,base,bf,59,6,0.6,5a,5c,19,2,4,5,4,4,1,1,,,,,,,,,,,
1.5.2018,doripa,2,base,bf,78,3,0.3,6a,6b+,19,14,,1,2,,7,3,3,1,,,1,1,,,,,
3.5.2018,sunshine,2,base,bb2,59,7,0.65,5c,6a,16,6,7,1,1,1,2,,1,1,2,,,,,,,,
3.5.2018,doripa,2,base,bb2,78,7,0.5,6b+,6c,42,24,,9,4,6,15,,6,1,2,,,,,,,,
6.5.2018,sunshine,2,base,bb2,59,7,0.7,5b,6a,22,5,9,6,2,,4,,1,,,,,,,,,,
6.5.2018,doripa,2,base,bb2,76,8,0.7,6b,6b+,42,24,4,9,4,1,11,5,1,6,1,,,,,,,,
8.5.2018,doripa,2,base,bb2,75.7,7,0.6,6a,6c,42,24,0,9,4,6,15,0,6,1,2,,,,,,,,
8.5.2018,sunshine,2,base,bb2,59,7,0.6,5c,6a,16,6,8,1,1,1,2,0,1,1,2,,,,,,,,
11.5.2018,doripa,2,base,bb1,75.7,8,0.7,6a,6c,42,24,4,8,3,2,9,6,4,4,1,,,,,,,,
11.5.2018,sunshine,2,base,bb1,59,4,0.7,5c,6a,16,3,5,4,3,1,3,,,,,,,,,,,,
